difficulty,battery,key,prompt_id,attempt,family,prompt,state,outcome,end_reason,auto_success,verdict,graded,human_pass,wall_seconds,tokens_in,tokens_out,tokens_total,llm_calls,started_at,ended_at,legs_planned,legs_completed
easy,20260727_020820-easy,easy_03/try01,easy_03,1,pickup,Go to Aisle 2 and pick up noodles,finished,operator_kill,already_successful,False,fail,True,False,1397.9,1459815,30225,1490040,100,2026-07-27T14:09:22,2026-07-27T14:32:40,0,0
easy,20260727_020820-easy,easy_03/try02,easy_03,2,pickup,Go to Aisle 2 and pick up noodles,finished,operator_kill,already_successful,False,fail,True,False,1392.5,1309838,30428,1340266,95,2026-07-27T14:09:28,2026-07-27T14:32:40,0,0
easy,20260727_020820-easy,easy_03/try03,easy_03,3,pickup,Go to Aisle 2 and pick up noodles,finished,operator_kill,already_successful,False,fail,True,False,1390.4,1451444,29670,1481114,100,2026-07-27T14:09:30,2026-07-27T14:32:40,0,0
easy,20260727_020820-easy,easy_03/try04,easy_03,4,pickup,Go to Aisle 2 and pick up noodles,finished,operator_kill,already_successful,False,pass,True,True,1387.8,1384134,31061,1415195,97,2026-07-27T14:09:32,2026-07-27T14:32:40,0,0
easy,20260727_020820-easy,easy_03/try05,easy_03,5,pickup,Go to Aisle 2 and pick up noodles,finished,completed,halt_granted,True,pass,True,True,1110.2,802202,24345,826547,79,2026-07-27T14:09:36,2026-07-27T14:28:06,2,2
easy,20260727_020820-easy,easy_04/try01,easy_04,1,attribute,Find strawberry-flavored Pocky,finished,completed,halt_granted,True,fail,True,False,811.6,216665,7932,224597,31,2026-07-27T02:33:18,2026-07-27T02:46:49,1,1
easy,20260727_020820-easy,easy_04/try02,easy_04,2,attribute,Find strawberry-flavored Pocky,finished,completed,halt_granted,True,pass,True,True,1329.6,687652,19284,706936,83,2026-07-27T02:36:50,2026-07-27T02:58:59,1,1
easy,20260727_020820-easy,easy_04/try03,easy_04,3,attribute,Find strawberry-flavored Pocky,finished,completed,halt_granted,True,fail,True,False,803.7,215863,9548,225411,34,2026-07-27T02:38:42,2026-07-27T02:52:05,1,1
easy,20260727_020820-easy,easy_04/try04,easy_04,4,attribute,Find strawberry-flavored Pocky,finished,completed,halt_granted,True,fail,True,False,695.4,217831,8806,226637,32,2026-07-27T02:42:02,2026-07-27T02:53:37,1,1
easy,20260727_020820-easy,easy_04/try05,easy_04,5,attribute,Find strawberry-flavored Pocky,finished,completed,halt_granted,True,pass,True,True,692.5,225897,8444,234341,35,2026-07-27T02:42:37,2026-07-27T02:54:10,1,1
easy,20260727_020820-easy,easy_05/try01,easy_05,1,attribute,Find a product from Meiji,finished,operator_kill,already_successful,False,already_successful,False,False,2029.3,3447672,44546,3492218,140,2026-07-28T18:38:09,2026-07-28T19:11:59,0,0
easy,20260727_020820-easy,easy_05/try02,easy_05,2,attribute,Find a product from Meiji,finished,completed,halt_granted,True,fail,True,False,152.1,54206,3412,57618,11,2026-07-28T18:38:23,2026-07-28T18:40:55,1,1
easy,20260727_020820-easy,easy_05/try03,easy_05,3,attribute,Find a product from Meiji,finished,completed,halt_granted,True,fail,True,False,168.7,54115,4153,58268,11,2026-07-28T18:38:32,2026-07-28T18:41:20,1,1
easy,20260727_020820-easy,easy_05/try04,easy_05,4,attribute,Find a product from Meiji,finished,completed,halt_granted,True,pass,True,True,1702.5,1971031,34106,2005137,136,2026-07-28T18:38:32,2026-07-28T19:06:54,1,1
easy,20260727_020820-easy,easy_05/try05,easy_05,5,attribute,Find a product from Meiji,finished,completed,halt_granted,True,fail,True,False,206.6,80940,5046,85986,15,2026-07-28T18:38:36,2026-07-28T18:42:03,1,1
easy,20260727_020820-easy,easy_06/try01,easy_06,1,attribute,Get a Nestle cereal box,finished,operator_kill,already_successful,False,invalid,False,False,346.3,246857,7519,254376,38,2026-07-28T01:02:30,2026-07-28T01:08:17,0,0
easy,20260727_020820-easy,easy_06/try02,easy_06,2,attribute,Get a Nestle cereal box,finished,completed,halt_granted,True,pass,True,True,329.8,223756,7111,230867,38,2026-07-28T01:02:30,2026-07-28T01:08:00,1,1
easy,20260727_020820-easy,easy_06/try03,easy_06,3,attribute,Get a Nestle cereal box,finished,operator_kill,already_successful,False,invalid,False,False,346.3,276097,7269,283366,45,2026-07-28T01:02:30,2026-07-28T01:08:17,0,0
easy,20260727_020820-easy,easy_06/try04,easy_06,4,attribute,Get a Nestle cereal box,finished,completed,halt_granted,True,pass,True,True,257.6,143903,5389,149292,24,2026-07-28T01:02:30,2026-07-28T01:06:48,1,1
easy,20260727_020820-easy,easy_06/try05,easy_06,5,attribute,Get a Nestle cereal box,finished,completed,halt_granted,True,invalid,False,False,285.9,178594,6178,184772,28,2026-07-28T01:02:30,2026-07-28T01:07:16,1,1
easy,20260727_020820-easy,easy_07/try01,easy_07,1,reasoning,Get a can of food that is good for breakfast.,finished,completed,time_cap,False,fail,True,False,5121.1,2205373,67431,2272804,222,2026-07-27T03:03:44,2026-07-27T04:29:05,1,0
easy,20260727_020820-easy,easy_07/try02,easy_07,2,reasoning,Get a can of food that is good for breakfast.,finished,completed,halt_granted,True,pass,True,True,4678.1,2073856,62259,2136115,202,2026-07-27T03:03:58,2026-07-27T04:21:56,1,1
easy,20260727_020820-easy,easy_07/try03,easy_07,3,reasoning,Get a can of food that is good for breakfast.,finished,completed,time_cap,False,fail,True,False,5137.9,2572883,67083,2639966,231,2026-07-27T03:04:00,2026-07-27T04:29:38,1,0
easy,20260727_020820-easy,easy_07/try04,easy_07,4,reasoning,Get a can of food that is good for breakfast.,finished,completed,time_cap,False,fail,True,False,5084.2,2877540,61902,2939442,201,2026-07-27T03:05:04,2026-07-27T04:29:48,1,0
easy,20260727_020820-easy,easy_07/try05,easy_07,5,reasoning,Get a can of food that is good for breakfast.,finished,completed,time_cap,False,fail,True,False,5254.6,2679278,70437,2749715,240,2026-07-27T03:08:27,2026-07-27T04:36:02,1,0
easy,20260727_020820-easy,easy_08/try01,easy_08,1,counting,Get 2 noodle products.,finished,completed,halt_forced,False,pass,True,True,2489.3,1979872,47044,2026916,166,2026-07-27T07:18:07,2026-07-27T07:59:36,1,0
easy,20260727_020820-easy,easy_08/try01.requeue00,easy_08,1,counting,Get 2 noodle products.,requeued,requeued,,False,,False,False,0.0,0,0,0,0,2026-07-27T03:50:47,,0,0
easy,20260727_020820-easy,easy_08/try02,easy_08,2,counting,Get 2 noodle products.,finished,completed,halt_forced,False,pass,True,True,1075.9,637251,15910,653161,60,2026-07-27T03:52:18,2026-07-27T04:10:14,1,0
easy,20260727_020820-easy,easy_08/try03,easy_08,3,counting,Get 2 noodle products.,finished,operator_kill,,False,pass,True,True,2059.3,1237467,32467,1269934,130,2026-07-27T04:01:02,2026-07-27T04:35:21,0,0
easy,20260727_020820-easy,easy_08/try04,easy_08,4,counting,Get 2 noodle products.,finished,completed,halt_forced,False,pass,True,True,1079.9,539314,16505,555819,61,2026-07-27T04:01:02,2026-07-27T04:19:02,1,0
easy,20260727_020820-easy,easy_08/try05,easy_08,5,counting,Get 2 noodle products.,finished,completed,halt_forced,False,pass,True,True,1122.4,632925,17399,650324,61,2026-07-27T04:01:05,2026-07-27T04:19:47,1,0
easy,20260727_020820-easy,easy_09/try01,easy_09,1,attribute,"Get crackers in a wrapper, not a box.",finished,operator_kill,already_successful,False,already_successful,False,False,1372.7,576261,24918,601179,74,2026-07-28T18:50:01,2026-07-28T19:12:54,0,0
easy,20260727_020820-easy,easy_09/try02,easy_09,2,attribute,"Get crackers in a wrapper, not a box.",finished,completed,halt_granted,True,pass,True,True,846.7,341500,10932,352432,40,2026-07-28T18:50:03,2026-07-28T19:04:09,1,1
easy,20260727_020820-easy,easy_09/try03,easy_09,3,attribute,"Get crackers in a wrapper, not a box.",finished,operator_kill,already_successful,False,already_successful,False,False,1359.6,105520,8815,114335,23,2026-07-28T18:50:04,2026-07-28T19:12:44,0,0
easy,20260727_020820-easy,easy_09/try04,easy_09,4,attribute,"Get crackers in a wrapper, not a box.",finished,completed,halt_granted,True,pass,True,True,757.2,376874,10166,387040,39,2026-07-28T18:50:10,2026-07-28T19:02:47,1,1
easy,20260727_020820-easy,easy_09/try05,easy_09,5,attribute,"Get crackers in a wrapper, not a box.",finished,operator_kill,already_successful,False,already_successful,False,False,1357.2,856375,20655,877030,97,2026-07-28T18:50:07,2026-07-28T19:12:44,0,0
easy,20260727_020820-easy,easy_10/try01,easy_10,1,attribute,Get something that is not chocolate but is a soup.,finished,completed,halt_granted,True,pass,True,True,362.3,109175,5049,114224,18,2026-07-27T04:29:08,2026-07-27T04:35:11,1,1
easy,20260727_020820-easy,easy_10/try02,easy_10,2,attribute,Get something that is not chocolate but is a soup.,finished,completed,halt_granted,True,pass,True,True,416.8,112737,6465,119202,21,2026-07-27T04:29:38,2026-07-27T04:36:35,1,1
easy,20260727_020820-easy,easy_10/try03,easy_10,3,attribute,Get something that is not chocolate but is a soup.,finished,completed,halt_granted,True,pass,True,True,396.5,108947,6153,115100,21,2026-07-27T04:29:48,2026-07-27T04:36:24,1,1
easy,20260727_020820-easy,easy_10/try04,easy_10,4,attribute,Get something that is not chocolate but is a soup.,finished,operator_kill,,False,invalid,False,False,77.6,797,891,1688,1,2026-07-27T04:35:14,2026-07-27T04:36:31,0,0
easy,20260727_020820-easy,easy_10/try05,easy_10,5,attribute,Get something that is not chocolate but is a soup.,finished,operator_kill,,False,invalid,False,False,78.3,797,1337,2134,1,2026-07-27T04:35:23,2026-07-27T04:36:42,0,0
easy,20260727_020820-easy,easy_11/try01,easy_11,1,attribute,Get green colored chips.,finished,operator_kill,,False,fail,True,False,571.9,136464,7495,143959,25,2026-07-27T04:36:02,2026-07-27T04:45:34,0,0
easy,20260727_020820-easy,easy_11/try02,easy_11,2,attribute,Get green colored chips.,finished,operator_kill,,False,fail,True,False,546.2,181601,7164,188765,26,2026-07-27T04:36:27,2026-07-27T04:45:34,0,0
easy,20260727_020820-easy,easy_11/try03,easy_11,3,attribute,Get green colored chips.,finished,completed,halt_granted,True,pass,True,True,460.5,143029,5888,148917,21,2026-07-27T04:36:31,2026-07-27T04:44:12,1,1
easy,20260727_020820-easy,easy_11/try04,easy_11,4,attribute,Get green colored chips.,finished,operator_kill,,False,fail,True,False,536.0,211089,6796,217885,28,2026-07-27T04:36:38,2026-07-27T04:45:34,0,0
easy,20260727_020820-easy,easy_11/try05,easy_11,5,attribute,Get green colored chips.,finished,operator_kill,,False,fail,True,False,529.0,183543,6475,190018,25,2026-07-27T04:36:45,2026-07-27T04:45:34,0,0
easy,20260727_020820-easy,easy_12/try01,easy_12,1,attribute,Get yellow Pringles.,finished,completed,halt_granted,True,pass,True,True,260.7,112362,3573,115935,20,2026-07-27T04:37:12,2026-07-27T04:41:33,1,1
easy,20260727_020820-easy,easy_12/try02,easy_12,2,attribute,Get yellow Pringles.,finished,operator_kill,,False,invalid,False,False,16.1,0,0,0,0,2026-07-27T04:41:35,2026-07-27T04:41:51,0,0
easy,20260727_020820-easy,easy_12/try03,easy_12,3,attribute,Get yellow Pringles.,finished,operator_kill,,False,fail,True,False,405.9,135104,4419,139523,21,2026-07-27T04:41:51,2026-07-27T04:48:37,0,0
easy,20260727_020820-easy,easy_12/try04,easy_12,4,attribute,Get yellow Pringles.,finished,operator_kill,,False,fail,True,False,272.7,43393,2377,45770,11,2026-07-27T04:44:14,2026-07-27T04:48:47,0,0
easy,20260727_020820-easy,easy_12/try05,easy_12,5,attribute,Get yellow Pringles.,finished,operator_kill,,False,invalid,False,False,183.1,21360,1604,22964,7,2026-07-27T04:45:34,2026-07-27T04:48:37,0,0
easy,20260727_020820-easy,easy_13/try01,easy_13,1,attribute,Get an item that weighs more than 100 grams,finished,completed,halt_forced,False,pass,True,True,3794.9,1535460,56725,1592185,173,2026-07-27T04:45:35,2026-07-27T05:48:50,1,0
easy,20260727_020820-easy,easy_13/try02,easy_13,2,attribute,Get an item that weighs more than 100 grams,finished,completed,halt_forced,False,pass,True,True,2491.6,931745,35608,967353,107,2026-07-27T04:45:35,2026-07-27T05:27:07,1,0
easy,20260727_020820-easy,easy_13/try03,easy_13,3,attribute,Get an item that weighs more than 100 grams,finished,completed,halt_forced,False,pass,True,True,3455.3,2316374,48864,2365238,181,2026-07-27T04:45:35,2026-07-27T05:43:11,1,0
easy,20260727_020820-easy,easy_13/try04,easy_13,4,attribute,Get an item that weighs more than 100 grams,finished,agent_error,halt_granted,False,fail,True,False,817.6,49274,4183,53457,8,2026-07-27T04:48:39,2026-07-27T05:02:17,2,1
easy,20260727_020820-easy,easy_13/try05,easy_13,5,attribute,Get an item that weighs more than 100 grams,finished,completed,halt_forced,False,pass,True,True,1680.2,722646,19075,741721,93,2026-07-27T04:48:42,2026-07-27T05:16:43,1,0
easy,20260727_020820-easy,easy_14/try01,easy_14,1,attribute,Get crackers but not from Glico,finished,completed,halt_granted,True,fail,True,False,1287.8,531986,14486,546472,66,2026-07-27T04:48:50,2026-07-27T05:10:17,1,1
easy,20260727_020820-easy,easy_14/try02,easy_14,2,attribute,Get crackers but not from Glico,finished,completed,time_cap,False,fail,True,False,5228.6,4951597,74352,5025949,294,2026-07-27T05:02:17,2026-07-27T06:29:26,1,0
easy,20260727_020820-easy,easy_14/try03,easy_14,3,attribute,Get crackers but not from Glico,finished,completed,halt_granted,True,fail,True,False,1085.9,419864,13175,433039,49,2026-07-27T05:10:17,2026-07-27T05:28:23,1,1
easy,20260727_020820-easy,easy_14/try04,easy_14,4,attribute,Get crackers but not from Glico,finished,completed,time_cap,False,fail,True,False,4111.2,2370075,60480,2430555,206,2026-07-27T05:11:43,2026-07-27T06:20:14,1,0
easy,20260727_020820-easy,easy_14/try05,easy_14,5,attribute,Get crackers but not from Glico,finished,completed,halt_forced,False,pass,True,True,3642.9,1810761,42692,1853453,148,2026-07-27T05:13:28,2026-07-27T06:14:11,1,0
easy,20260727_020820-easy,easy_15/try01,easy_15,1,attribute,Find chips that cost less than 30 php.,finished,completed,halt_granted,True,pass,True,True,290.0,28524,3063,31587,5,2026-07-27T05:16:43,2026-07-27T05:21:33,1,1
easy,20260727_020820-easy,easy_15/try02,easy_15,2,attribute,Find chips that cost less than 30 php.,finished,completed,halt_granted,True,pass,True,True,492.7,30815,3234,34049,7,2026-07-27T05:21:35,2026-07-27T05:29:48,1,1
easy,20260727_020820-easy,easy_15/try03,easy_15,3,attribute,Find chips that cost less than 30 php.,finished,completed,halt_granted,True,pass,True,True,301.3,30394,3263,33657,7,2026-07-27T05:27:09,2026-07-27T05:32:11,1,1
easy,20260727_020820-easy,easy_15/try04,easy_15,4,attribute,Find chips that cost less than 30 php.,finished,completed,halt_granted,True,pass,True,True,341.1,30629,3899,34528,7,2026-07-27T05:27:28,2026-07-27T05:33:10,1,1
easy,20260727_020820-easy,easy_15/try05,easy_15,5,attribute,Find chips that cost less than 30 php.,finished,completed,halt_granted,True,pass,True,True,295.2,53341,3942,57283,10,2026-07-27T05:28:26,2026-07-27T05:33:21,1,1
easy,20260727_020820-easy,easy_16/try01,easy_16,1,attribute,Find a noodle product that is priced between 10 php and 20 php,finished,completed,halt_granted,True,pass,True,True,382.7,30833,4780,35613,7,2026-07-27T05:29:48,2026-07-27T05:36:11,1,1
easy,20260727_020820-easy,easy_16/try02,easy_16,2,attribute,Find a noodle product that is priced between 10 php and 20 php,finished,completed,halt_granted,True,pass,True,True,326.9,31670,4395,36065,8,2026-07-27T05:32:13,2026-07-27T05:37:40,1,1
easy,20260727_020820-easy,easy_16/try03,easy_16,3,attribute,Find a noodle product that is priced between 10 php and 20 php,finished,completed,halt_forced,False,pass,True,True,1916.4,1121347,30811,1152158,106,2026-07-27T05:33:12,2026-07-27T06:05:08,1,0
easy,20260727_020820-easy,easy_16/try04,easy_16,4,attribute,Find a noodle product that is priced between 10 php and 20 php,finished,completed,halt_granted,True,pass,True,True,313.8,30817,3134,33951,7,2026-07-27T05:33:21,2026-07-27T05:38:35,1,1
easy,20260727_020820-easy,easy_16/try05,easy_16,5,attribute,Find a noodle product that is priced between 10 php and 20 php,finished,completed,halt_granted,True,pass,True,True,290.4,30878,4073,34951,7,2026-07-27T05:36:13,2026-07-27T05:41:03,1,1
easy,20260727_020820-easy,easy_17/try01,easy_17,1,attribute,Find a product with cheese.,finished,completed,time_cap,False,fail,True,False,5107.9,3473304,67663,3540967,244,2026-07-27T05:37:42,2026-07-27T07:02:50,1,0
easy,20260727_020820-easy,easy_17/try02,easy_17,2,attribute,Find a product with cheese.,finished,completed,halt_granted,True,fail,True,False,670.0,37826,2909,40735,6,2026-07-27T05:38:37,2026-07-27T05:49:47,1,1
easy,20260727_020820-easy,easy_17/try03,easy_17,3,attribute,Find a product with cheese.,finished,completed,time_cap,False,fail,True,False,5142.1,3198790,72578,3271368,267,2026-07-27T05:41:05,2026-07-27T07:06:48,1,0
easy,20260727_020820-easy,easy_17/try04,easy_17,4,attribute,Find a product with cheese.,finished,completed,time_cap,False,fail,True,False,4591.8,4108128,59559,4167687,233,2026-07-27T05:43:13,2026-07-27T06:59:45,1,0
easy,20260727_020820-easy,easy_17/try05,easy_17,5,attribute,Find a product with cheese.,finished,completed,halt_granted,True,pass,True,True,2735.3,1974909,36517,2011426,157,2026-07-27T05:45:21,2026-07-27T06:30:57,1,1
easy,20260727_020820-easy,easy_18/try01,easy_18,1,pickup,"Find Clover Chips. If you see one in the bottom shelf, pick that one.",finished,completed,halt_granted,True,pass,True,True,356.6,112617,4948,117565,18,2026-07-27T05:48:50,2026-07-27T05:54:47,1,1
easy,20260727_020820-easy,easy_18/try02,easy_18,2,pickup,"Find Clover Chips. If you see one in the bottom shelf, pick that one.",finished,completed,halt_granted,True,pass,True,True,382.8,111581,4963,116544,18,2026-07-27T05:49:49,2026-07-27T05:56:12,1,1
easy,20260727_020820-easy,easy_18/try03,easy_18,3,pickup,"Find Clover Chips. If you see one in the bottom shelf, pick that one.",finished,completed,halt_granted,True,pass,True,True,1021.5,485973,12819,498792,59,2026-07-27T05:54:48,2026-07-27T06:11:50,1,1
easy,20260727_020820-easy,easy_18/try04,easy_18,4,pickup,"Find Clover Chips. If you see one in the bottom shelf, pick that one.",finished,completed,halt_granted,True,pass,True,True,550.8,218454,6872,225326,30,2026-07-27T05:56:12,2026-07-27T06:05:23,1,1
easy,20260727_020820-easy,easy_18/try05,easy_18,5,pickup,"Find Clover Chips. If you see one in the bottom shelf, pick that one.",finished,completed,halt_granted,True,pass,True,True,416.2,111735,4544,116279,18,2026-07-27T06:05:10,2026-07-27T06:12:06,1,1
easy,20260727_020820-easy,easy_19/try01,easy_19,1,navigate,Find an item near the checkout,finished,completed,halt_granted,True,fail,True,False,114.4,28120,1914,30034,5,2026-07-27T06:05:26,2026-07-27T06:07:20,1,1
easy,20260727_020820-easy,easy_19/try02,easy_19,2,navigate,Find an item near the checkout,finished,completed,halt_granted,True,fail,True,False,125.8,28044,1790,29834,5,2026-07-27T06:07:22,2026-07-27T06:09:28,1,1
easy,20260727_020820-easy,easy_19/try03,easy_19,3,navigate,Find an item near the checkout,finished,completed,halt_granted,True,fail,True,False,140.2,28071,1718,29789,5,2026-07-27T06:09:30,2026-07-27T06:11:50,1,1
easy,20260727_020820-easy,easy_19/try04,easy_19,4,navigate,Find an item near the checkout,finished,completed,time_cap,False,fail,True,False,5640.9,4169442,76968,4246410,214,2026-07-27T06:11:50,2026-07-27T07:45:51,2,1
easy,20260727_020820-easy,easy_19/try05,easy_19,5,navigate,Find an item near the checkout,finished,completed,time_cap,False,pass,True,True,5623.3,2466472,74954,2541426,229,2026-07-27T06:11:52,2026-07-27T07:45:35,2,1
easy,20260727_020820-easy,easy_20/try01,easy_20,1,attribute,Find a small biscuit.,finished,completed,halt_granted,True,fail,True,False,703.2,34625,5122,39747,11,2026-07-27T06:12:06,2026-07-27T06:23:49,1,1
easy,20260727_020820-easy,easy_20/try02,easy_20,2,attribute,Find a small biscuit.,finished,completed,halt_granted,True,fail,True,False,423.9,32675,3919,36594,9,2026-07-27T06:14:11,2026-07-27T06:21:15,1,1
easy,20260727_020820-easy,easy_20/try03,easy_20,3,attribute,Find a small biscuit.,finished,completed,halt_granted,True,pass,True,True,1833.4,796051,26849,822900,85,2026-07-27T06:20:17,2026-07-27T06:50:50,1,1
easy,20260727_020820-easy,easy_20/try04,easy_20,4,attribute,Find a small biscuit.,finished,completed,halt_granted,True,pass,True,True,1105.6,358077,15452,373529,45,2026-07-27T06:21:18,2026-07-27T06:39:43,2,2
easy,20260727_020820-easy,easy_20/try05,easy_20,5,attribute,Find a small biscuit.,finished,agent_error,halt_granted,False,fail,True,False,811.5,28348,3636,31984,5,2026-07-27T06:23:52,2026-07-27T06:37:23,2,1
easy,20260727_020820-easy,easy_21/try01,easy_21,1,inspect,Find a chip bag and check its expiration date,finished,completed,halt_granted,True,pass,True,True,397.4,325483,12261,337744,56,2026-07-28T20:11:53,2026-07-28T20:18:30,1,1
easy,20260727_020820-easy,easy_21/try02,easy_21,2,inspect,Find a chip bag and check its expiration date,finished,completed,halt_forced,False,pass,True,True,465.8,370665,14412,385077,67,2026-07-28T20:11:59,2026-07-28T20:19:44,1,0
easy,20260727_020820-easy,easy_21/try03,easy_21,3,inspect,Find a chip bag and check its expiration date,finished,completed,halt_granted,True,pass,True,True,287.3,226283,8914,235197,35,2026-07-28T20:31:43,2026-07-28T20:36:30,1,1
easy,20260727_020820-easy,easy_21/try04,easy_21,4,inspect,Find a chip bag and check its expiration date,finished,completed,halt_granted,True,fail,True,False,1802.9,509445,17460,526905,60,2026-07-27T06:39:45,2026-07-27T07:09:48,1,1
easy,20260727_020820-easy,easy_21/try05,easy_21,5,inspect,Find a chip bag and check its expiration date,finished,completed,halt_granted,True,fail,True,False,3028.6,2424458,43113,2467571,162,2026-07-27T06:50:50,2026-07-27T07:41:19,1,1
easy,20260727_020820-easy,easy_22/try01,easy_22,1,inspect,Find noodles and check its price,finished,operator_kill,already_successful,False,already_successful,False,False,328.9,56153,4783,60936,13,2026-07-28T18:51:19,2026-07-28T18:56:48,0,0
easy,20260727_020820-easy,easy_22/try02,easy_22,2,inspect,Find noodles and check its price,finished,operator_kill,already_successful,False,already_successful,False,False,328.0,29280,2624,31904,5,2026-07-28T18:51:20,2026-07-28T18:56:48,0,0
easy,20260727_020820-easy,easy_22/try03,easy_22,3,inspect,Find noodles and check its price,finished,completed,halt_granted,True,pass,True,True,304.7,33957,4140,38097,9,2026-07-28T18:51:21,2026-07-28T18:56:26,1,1
easy,20260727_020820-easy,easy_22/try04,easy_22,4,inspect,Find noodles and check its price,finished,operator_kill,already_successful,False,already_successful,False,False,335.1,32831,3154,35985,8,2026-07-28T18:51:23,2026-07-28T18:56:58,0,0
easy,20260727_020820-easy,easy_22/try05,easy_22,5,inspect,Find noodles and check its price,finished,operator_kill,already_successful,False,already_successful,False,False,322.8,29298,2818,32116,5,2026-07-28T18:51:25,2026-07-28T18:56:48,0,0
easy,20260727_020820-easy,easy_23/try01,easy_23,1,counting,Count the number of unique products on Aisle 1,finished,completed,halt_forced,False,fail,True,False,368.6,312417,10623,323040,44,2026-07-28T01:09:49,2026-07-28T01:15:58,1,0
easy,20260727_020820-easy,easy_23/try02,easy_23,2,counting,Count the number of unique products on Aisle 1,finished,completed,halt_forced,False,fail,True,False,832.4,752639,22783,775422,85,2026-07-28T01:14:02,2026-07-28T01:27:54,1,0
easy,20260727_020820-easy,easy_23/try03,easy_23,3,counting,Count the number of unique products on Aisle 1,finished,completed,halt_forced,False,fail,True,False,644.3,551932,15279,567211,73,2026-07-28T01:14:04,2026-07-28T01:24:48,1,0
easy,20260727_020820-easy,easy_23/try04,easy_23,4,counting,Count the number of unique products on Aisle 1,running,running,,False,,False,False,0.0,2917731,50096,2967827,164,2026-07-28T01:14:10,,0,0
easy,20260727_020820-easy,easy_23/try05,easy_23,5,counting,Count the number of unique products on Aisle 1,running,running,,False,,False,False,0.0,2292314,46087,2338401,171,2026-07-28T01:14:17,,0,0
medium,20260728_143857-medium,medium_01/try01,medium_01,1,checkout,Get Pocky and scan it at the checkout,finished,completed,halt_granted,True,pass,True,True,1057.0,241199,14479,255678,64,2026-07-28T15:02:34,2026-07-28T15:20:11,2,2
medium,20260728_143857-medium,medium_01/try02,medium_01,2,checkout,Get Pocky and scan it at the checkout,finished,operator_kill,already_successful,False,already_successful,False,False,3110.1,2282397,48905,2331302,197,2026-07-28T14:38:58,2026-07-28T15:30:48,0,0
medium,20260728_143857-medium,medium_01/try03,medium_01,3,checkout,Get Pocky and scan it at the checkout,finished,completed,halt_granted,True,pass,True,True,1814.9,754893,25286,780179,117,2026-07-28T14:38:58,2026-07-28T15:09:12,2,2
medium,20260728_143857-medium,medium_01/try04,medium_01,4,checkout,Get Pocky and scan it at the checkout,finished,operator_kill,already_successful,False,already_successful,False,False,3110.3,1172268,39098,1211366,239,2026-07-28T14:38:58,2026-07-28T15:30:48,0,0
medium,20260728_143857-medium,medium_01/try05,medium_01,5,checkout,Get Pocky and scan it at the checkout,finished,completed,halt_granted,True,pass,True,True,2497.5,1575078,39231,1614309,173,2026-07-28T14:38:58,2026-07-28T15:20:35,2,2
medium,20260728_143857-medium,medium_02/try01,medium_02,1,checkout,Get noodles and scan it at the checkout,finished,completed,halt_granted,True,pass,True,True,1618.8,203193,12322,215515,56,2026-07-28T14:38:58,2026-07-28T15:05:56,2,2
