arm,battery,prompt_id,family,attempt,success,verified_verdict,verified,success_final,excluded,false_pass,false_fail,outcome,end_reason,clean,wall_seconds,tokens_in,tokens_out,llm_calls,legs_planned,legs_completed,leg_files,steps,halt_requests,semantic_chars,requeues,leg_retries,actor_in,actor_out,actor_calls,semantic_in,semantic_out,semantic_calls,episodic_in,episodic_out,episodic_calls,perception_in,perception_out,perception_calls,guard_in,guard_out,guard_calls,findings_in,findings_out,findings_calls,resolver_in,resolver_out,resolver_calls,decomposer_in,decomposer_out,decomposer_calls,responder_in,responder_out,responder_calls
a1,20260730_143507_context-ablation-a1,hard_01,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2897.3,642048,38079,101,4,4,4,15,5,17162,0,0,197163,3767,15,241750,3578,20,73342,4888,15,48000,7974,44,48037,2459,34,3719,9145,3,21953,2554,2,1610,2732,1,6474,982,1
a1,20260730_143507_context-ablation-a1,easy_01,pickup,1,0,fail,1,0,0,0,0,completed,time_cap,1,4927.9,10029250,112515,349,1,0,2,113,0,17162,0,1,8015592,27314,113,1225620,19556,113,641912,42211,113,121367,20920,110,7119,346,7,0,0,0,10978,911,1,1595,240,1,5067,1017,1
a1,20260730_143507_context-ablation-a1,hard_01,reasoning,3,0,invalid,1,0,1,0,0,operator_kill,already_successful,0,6790.7,5600749,97403,362,0,0,3,85,1,17162,0,3,3948219,27374,85,1027390,19765,86,494159,34668,85,27702,4149,25,78156,3800,77,1560,3074,1,21953,2549,2,1610,2024,1,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,reasoning,3,0,fail,1,0,0,0,0,completed,time_cap,1,5069.3,3800173,78645,198,3,0,2,65,0,17162,0,0,2644568,14786,65,717344,13673,65,327829,25126,65,91519,17752,84,0,0,0,0,0,0,10977,3224,1,1603,2841,1,6333,1243,1
a2c,20260730_123306_context-ablation-a2c,easy_01,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,521.5,235370,8151,28,1,1,1,7,1,17938,0,0,92203,1554,7,86787,1191,8,28488,1973,7,13113,707,12,1009,46,1,0,0,0,10978,1100,1,1595,296,1,1197,1284,1
a2c,20260730_123306_context-ablation-a2c,easy_01,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,522.2,235530,7607,28,1,1,1,7,1,17976,0,0,91668,1466,7,86793,1179,8,28028,1980,7,14258,613,13,1009,41,1,0,0,0,10978,996,1,1595,250,1,1201,1082,1
a2c,20260730_123306_context-ablation-a2c,easy_03,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,530.7,185608,15189,27,2,2,2,5,2,18282,0,0,53045,1080,5,80078,1438,7,20126,1644,5,4380,1654,4,1017,46,1,946,2882,1,21954,4476,2,1597,1044,1,2465,925,1
a2c,20260730_123306_context-ablation-a2c,easy_03,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,530.7,184585,14553,27,2,2,2,5,2,18483,0,0,52145,1004,5,80723,1115,7,19150,1370,5,4398,1585,4,1017,49,1,940,3124,1,21954,4248,2,1597,965,1,2661,1093,1
a2c,20260730_123306_context-ablation-a2c,easy_03,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,651.5,260796,18038,33,2,2,2,7,2,18958,0,0,88206,1457,7,103568,1453,9,31064,2225,7,9909,3686,9,1009,39,1,929,2730,1,21954,4331,2,1597,1012,1,2560,1105,1
a2c,20260730_123306_context-ablation-a2c,medium_01,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,1089.9,262969,16481,32,2,2,2,7,2,18602,0,0,76333,1684,7,101775,1459,9,26975,2095,7,40254,5420,37,1013,46,1,1212,2845,1,10977,1010,1,1597,933,1,2833,989,1
a2c,20260730_123306_context-ablation-a2c,medium_03,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1398.6,522556,30352,58,3,3,3,12,3,19649,0,0,140848,2847,12,182003,2414,15,58915,3731,12,103179,7216,95,7113,339,7,2353,8118,2,21955,2877,2,1602,1740,1,4588,1070,1
a2c,20260730_123306_context-ablation-a2c,hard_03,reasoning,1,1,fail,1,0,0,1,0,completed,halt_granted,1,1376.2,313950,19248,38,2,2,2,8,2,18475,0,0,96355,1756,8,112684,1746,10,34044,2386,8,50146,4821,46,4053,205,4,1281,3368,1,10976,1454,1,1603,2132,1,2808,1380,1
a2c,20260730_123306_context-ablation-a2c,medium_03,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2225.3,563655,29806,62,3,3,3,13,3,19836,0,0,157101,2969,13,192266,2672,16,64950,4176,13,110780,7942,102,8131,365,8,2284,6473,2,21955,3060,2,1602,1676,1,4586,473,1
a2c,20260730_123306_context-ablation-a2c,hard_01,reasoning,1,1,fail,1,0,0,1,0,completed,halt_granted,1,2720.5,789835,41148,113,4,4,4,18,5,20007,0,0,242658,4122,18,291792,3857,23,89967,5718,18,84862,9601,78,46616,2537,37,3806,9345,3,21953,2301,2,1610,1956,1,6571,1711,1
a2c,20260730_123306_context-ablation-a2c,medium_03,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,3517.6,1102723,38412,99,3,3,3,24,4,19939,0,0,450840,5354,24,335846,4601,28,136152,7850,24,139085,9463,128,9147,397,9,2865,6371,2,21955,2639,2,1602,900,1,5231,837,1
a2c,20260730_123306_context-ablation-a2c,easy_01,pickup,1,0,fail,1,0,0,0,0,completed,time_cap,1,4925.8,6734608,86405,279,1,0,2,90,0,20832,0,1,5097044,21007,90,1048567,17829,90,488640,33947,90,77013,10185,70,6102,292,6,0,0,0,10978,911,1,1595,714,1,4669,1520,1
a2c,20260730_123306_context-ablation-a2c,hard_01,reasoning,3,0,fail,1,0,0,0,0,completed,time_cap,1,5068.8,3759418,80689,233,4,0,2,61,0,20390,0,0,2511456,14767,61,709581,11378,61,355951,23384,61,108615,23216,98,46960,2224,46,0,0,0,21953,2784,2,1610,1681,1,3292,1255,1
a2c,20260730_123306_context-ablation-a2c,hard_03,reasoning,3,1,fail,1,0,0,1,0,completed,halt_granted,1,3467.1,928634,46373,92,4,4,4,19,5,20400,0,0,325166,5080,19,313446,4705,24,108206,6298,19,146191,12948,134,12557,1346,12,3823,9201,3,11151,1401,1,1603,3469,1,6491,1925,1
a2c,20260730_123306_context-ablation-a2c,hard_01,reasoning,2,0,invalid,1,0,1,0,0,completed,time_cap,1,5709.0,7308515,108731,392,4,1,3,98,1,21095,0,0,5321701,28462,98,1273957,23317,99,561712,39926,98,27588,3365,25,91351,4311,90,1308,3777,1,21953,2451,2,1610,1613,1,7335,1509,1
a2c,20260730_123306_context-ablation-a2c,hard_03,reasoning,2,0,fail,1,0,0,0,0,completed,time_cap,1,5014.2,4674084,104166,219,3,0,2,72,0,21018,0,0,3327700,18897,72,850672,14916,72,369422,27306,72,109988,36562,100,0,0,0,0,0,0,10976,1511,1,1603,3643,1,3723,1331,1
a2c,20260730_123306_context-ablation-a2c,medium_01,checkout,2,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.0,118094,7366,21,0,0,1,3,0,17916,0,1,41043,840,4,43189,664,4,13623,1215,4,7665,2111,7,0,0,0,0,0,0,10977,1742,1,1597,794,1,0,0,0
a2c,20260730_123306_context-ablation-a2c,medium_01,checkout,1,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.2,12574,2617,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10977,1642,1,1597,975,1,0,0,0
a3,20260730_172208_context-ablation-a3,medium_01,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,480.5,252623,13503,31,2,2,2,7,2,18709,0,0,73476,1451,7,98495,1410,9,23945,1989,7,41358,5554,38,1013,61,1,0,0,0,10977,1237,1,1597,546,1,1762,1255,1
a3,20260730_172208_context-ablation-a3,easy_03,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,579.0,201463,14087,29,2,2,2,6,2,18888,0,0,63226,1252,6,87349,1356,8,20158,1605,6,4380,1619,4,1017,50,1,0,0,0,21954,5012,2,1597,1363,1,1782,1830,1
a3,20260730_172208_context-ablation-a3,easy_03,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,710.2,211406,16131,29,2,2,2,6,2,18708,0,0,63826,1167,6,87519,1455,8,20724,1858,6,13046,4992,12,1009,42,1,0,0,0,21954,4725,2,1597,742,1,1731,1150,1
a3,20260730_172208_context-ablation-a3,medium_03,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,1005.8,575313,22704,65,3,3,3,15,3,20627,0,0,192784,3376,15,201834,2760,18,63703,4178,15,83702,6066,77,7113,305,7,0,0,0,21955,2718,2,1602,2434,1,2620,867,1
a3,20260730_172208_context-ablation-a3,medium_01,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1591.3,626503,22193,61,2,2,2,17,2,21123,0,0,265682,4225,17,214978,3431,19,74789,5569,17,54973,5542,50,1013,47,1,0,0,0,10977,1520,1,1597,707,1,2494,1152,1
a3,20260730_172208_context-ablation-a3,medium_03,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,2261.1,485724,22989,56,3,3,3,12,3,20349,0,0,130878,2807,12,168400,2968,15,48905,3762,12,104268,7487,96,7113,298,7,0,0,0,21955,2795,2,1602,1281,1,2603,1591,1
a3,20260730_172208_context-ablation-a3,easy_01,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,2829.3,2401977,40432,130,1,1,2,38,2,26862,0,1,1623093,9684,38,482439,6720,40,215459,13542,38,57636,7362,52,7111,377,7,0,0,0,10978,1009,1,1595,768,1,3666,970,1
a3,20260730_172208_context-ablation-a3,medium_03,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,2394.0,482874,23602,56,3,3,3,12,3,20124,0,0,130259,2511,12,167122,3051,15,47990,3411,12,104235,7627,96,7113,316,7,0,0,0,21955,3036,2,1602,2194,1,2598,1456,1
a3,20260730_172208_context-ablation-a3,hard_01,reasoning,1,1,fail,1,0,0,1,0,completed,halt_granted,1,2872.9,820166,35230,141,4,4,4,21,4,22508,0,0,277312,4969,21,290209,5251,25,94366,6466,21,51270,8167,47,79669,4391,62,0,0,0,21953,2743,2,1610,1981,1,3777,1262,1
a3,20260730_172208_context-ablation-a3,easy_01,pickup,2,0,fail,1,0,0,0,0,completed,time_cap,1,4953.7,4440528,77753,213,1,0,2,68,0,34919,0,1,3062802,16440,68,874379,12046,68,383575,24331,68,95618,21964,87,6100,289,6,0,0,0,10978,912,1,1595,292,1,5481,1479,1
a3,20260730_172208_context-ablation-a3,easy_01,pickup,3,0,fail,1,0,0,0,0,completed,time_cap,1,5002.8,4416919,73224,207,1,0,2,67,0,33021,0,1,3012539,15683,67,862855,11125,67,375395,24252,67,145261,18445,132,3051,158,3,0,0,0,10978,1133,1,1595,647,1,5245,1781,1
a3,20260730_172208_context-ablation-a3,hard_03,reasoning,3,1,fail,1,0,0,1,0,completed,halt_granted,1,2339.9,465810,22815,60,4,4,4,12,4,20658,0,0,152119,2624,12,180370,2968,16,46732,3403,12,52290,4046,48,7474,364,7,0,0,0,22142,4456,2,1603,3170,1,3080,1784,1
a3,20260730_172208_context-ablation-a3,hard_03,reasoning,2,1,fail,1,0,0,1,0,completed,halt_granted,1,2628.5,1149213,30561,95,2,2,2,22,3,22856,0,0,634504,4960,22,291161,5042,25,129435,6948,22,61317,7976,56,17276,767,17,0,0,0,10976,1502,1,1603,1971,1,2941,1395,1
a3,20260730_172208_context-ablation-a3,easy_03,pickup,1,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.0,23551,5256,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21954,4507,2,1597,749,1,0,0,0
a3,20260730_172208_context-ablation-a3,medium_01,checkout,2,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.3,12574,1699,2,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10977,1440,1,1597,259,1,0,0,0
a3,20260730_172208_context-ablation-a3,hard_03,reasoning,1,0,fail,1,0,0,0,0,completed,time_cap,1,5125.5,6920913,99014,276,3,0,2,90,1,41914,0,0,5057267,25897,90,1293363,17303,91,480210,36887,90,72361,13355,66,0,0,0,0,0,0,10977,2040,1,1603,2856,1,5132,676,1
a3,20260730_172208_context-ablation-a3,hard_01,reasoning,2,0,fail,1,0,1,0,0,operator_kill,already_successful,0,6007.4,6752691,130950,609,0,0,5,107,4,42667,0,5,4234786,31648,108,1603033,20275,112,568723,39058,107,200520,28533,179,122066,6170,100,0,0,0,21953,2599,2,1610,2667,1,0,0,0
a3,20260730_172208_context-ablation-a3,hard_01,reasoning,3,0,fail,1,0,1,0,0,operator_kill,already_successful,0,5903.1,4635366,89325,388,0,0,3,77,2,36371,0,3,2950952,19735,77,1057247,15475,79,440684,30819,77,107127,15860,97,55793,2654,55,0,0,0,21953,2774,2,1610,2008,1,0,0,0
a4,20260730_192703_context-ablation-a4,easy_01,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,531.0,236209,7684,28,1,1,1,7,1,18799,0,0,91646,1436,7,87353,1227,8,27956,1936,7,14261,601,13,1009,48,1,0,0,0,10978,911,1,1595,241,1,1411,1284,1
a4,20260730_192703_context-ablation-a4,easy_03,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,558.5,174106,13422,27,2,2,2,5,2,18498,0,0,49263,1025,5,76902,1154,7,16289,1386,5,4388,1655,4,1017,41,1,792,2066,1,21954,4248,2,1597,697,1,1904,1150,1
a4,20260730_192703_context-ablation-a4,easy_03,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,585.4,175869,13330,27,2,2,2,5,2,18604,0,0,49469,1046,5,77092,1183,7,16516,1436,5,5476,2080,5,1009,46,1,804,2123,1,21954,4202,2,1597,817,1,1952,397,1
a4,20260730_192703_context-ablation-a4,easy_03,pickup,2,0,,0,0,1,0,0,operator_kill,already_successful,0,748.5,23551,5011,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21954,4640,2,1597,371,1,0,0,0
a4,20260730_192703_context-ablation-a4,easy_01,pickup,2,0,,0,0,1,0,0,operator_kill,already_successful,0,765.0,499966,13678,54,0,0,1,13,0,20130,0,1,262902,3030,13,144396,2270,13,65720,4257,13,13358,1917,12,1017,44,1,0,0,0,10978,1191,1,1595,969,1,0,0,0
a4,20260730_192703_context-ablation-a4,easy_01,pickup,3,0,,0,0,1,0,0,operator_kill,already_successful,0,765.0,449170,13646,54,0,0,1,11,0,20074,0,1,227861,2658,12,132836,1965,12,58253,3923,12,16630,3020,15,1017,44,1,0,0,0,10978,1133,1,1595,903,1,0,0,0
a4,20260730_192703_context-ablation-a4,medium_01,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,1169.4,1229713,35027,92,2,2,2,27,2,23298,0,0,661513,6644,27,340736,4732,29,126838,9171,27,82584,7863,75,1013,47,1,1154,3067,1,10977,1635,1,1597,1059,1,3301,809,1
a4,20260730_192703_context-ablation-a4,medium_01,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1286.8,290073,17419,35,2,2,2,8,2,19008,0,0,91408,1769,8,110731,1645,10,29861,2637,8,41352,5717,38,1013,43,1,1151,2433,1,10977,1239,1,1597,925,1,1983,1011,1
a4,20260730_192703_context-ablation-a4,hard_03,reasoning,1,1,fail,1,0,0,1,0,completed,halt_granted,1,1046.5,236908,17942,33,2,2,2,6,3,18819,0,0,59838,1292,6,99608,1674,9,20508,1736,6,39105,3746,36,2026,103,2,1191,2683,1,10976,2568,1,1603,2812,1,2053,1328,1
a4,20260730_192703_context-ablation-a4,medium_01,checkout,2,0,,0,0,1,0,0,operator_kill,already_successful,0,1927.3,12574,2526,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10977,1600,1,1597,926,1,0,0,0
a4,20260730_192703_context-ablation-a4,hard_01,reasoning,3,1,pass,1,1,0,0,0,completed,halt_granted,1,1774.8,465984,29594,85,4,4,4,12,4,20613,0,0,123686,2940,12,185068,2815,16,43346,3572,12,43596,5664,40,40034,1950,30,3020,6976,3,21953,2407,2,1610,1697,1,3671,1573,1
a4,20260730_192703_context-ablation-a4,hard_01,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2023.1,536378,31563,91,4,4,4,14,4,20875,0,0,161291,3573,14,208587,3207,18,54379,4507,14,42587,5284,39,39112,1844,30,3106,7184,3,21953,2553,2,1610,2196,1,3753,1215,1
a4,20260730_192703_context-ablation-a4,medium_03,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,2337.4,642707,30532,70,3,3,3,16,3,20851,0,0,207279,3536,16,217633,3806,19,75566,5181,16,106398,7792,98,7113,272,7,2071,4479,2,21955,2726,2,1602,1912,1,3090,828,1
a4,20260730_192703_context-ablation-a4,medium_03,checkout,1,0,pass,1,1,0,0,1,completed,halt_forced,1,3784.0,1381413,46037,112,3,2,4,28,5,24493,0,1,611628,7104,28,397200,5915,33,146377,9262,28,189091,12663,173,7113,281,7,2067,4667,2,21955,3053,2,1602,1624,1,4380,1468,1
a4,20260730_192703_context-ablation-a4,medium_03,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,3971.4,1453992,45788,116,3,3,3,31,3,24781,0,0,666421,7014,31,404638,5616,34,171511,9886,31,172788,11749,159,8130,337,8,2873,5295,2,21955,2912,2,1602,1830,1,4074,1149,1
