arm,battery,prompt_id,try,leg_index,leg_type,leg_attempt,success,end_reason,timesteps,llm_calls,tokens_in,tokens_out,wall_s,halts_refused,halt_forced,errors,actor_in,actor_out,actor_calls,semantic_in,semantic_out,semantic_calls,episodic_in,episodic_out,episodic_calls,perception_in,perception_out,perception_calls,guard_in,guard_out,guard_calls,findings_in,findings_out,findings_calls,resolver_in,resolver_out,resolver_calls,decomposer_in,decomposer_out,decomposer_calls,responder_in,responder_out,responder_calls
baseline,20260730_040404,hard_01,try01,0,pickup,1,1,halt_granted,10,31,317307,9647,676.6,0,0,0,148052,1856,9,111163,1557,10,46087,3009,9,10992,3171,10,1013,54,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try01,1,pickup,1,1,halt_granted,14,61,551896,13832,902.0,1,0,0,266360,2985,12,178557,2421,14,76683,4292,12,11047,3282,10,19249,852,19,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try01,2,inspect,1,1,halt_granted,3,57,136688,5467,419.7,0,0,0,21102,545,2,43865,573,3,9285,727,2,0,0,0,62436,3622,48,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try01,3,checkout,1,1,halt_granted,5,15,188555,5736,498.6,0,0,0,54507,1133,4,76268,904,5,27380,1389,4,30400,2310,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try02,0,pickup,1,1,halt_granted,10,31,318823,15277,899.2,0,0,0,141378,1858,9,111309,1663,10,40942,2965,9,24179,8743,22,1015,48,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try02,1,pickup,1,1,halt_granted,6,26,181984,5364,425.9,0,0,0,65071,1164,5,75561,1027,6,26631,1415,5,6601,1382,6,8120,376,8,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try02,2,inspect,1,1,halt_granted,3,32,104207,3523,284.6,0,0,0,21051,523,2,42669,699,3,9212,643,2,0,0,0,31275,1658,23,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try02,3,checkout,1,1,halt_granted,6,36,271066,9131,712.9,0,0,0,81259,1888,5,91853,1303,6,41415,2126,5,33652,2441,31,22887,1373,18,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try03,0,pickup,1,1,halt_granted,27,84,1386308,27711,1809.5,0,0,0,893268,6787,26,313535,4513,27,138663,8714,26,37801,7551,34,3041,146,3,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try03,1,pickup,1,1,halt_granted,10,44,346258,9617,646.3,1,0,0,137164,1716,8,138380,1787,10,48807,2853,8,7721,2632,7,14186,629,14,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try03,2,inspect,1,1,halt_granted,3,36,115992,3602,408.0,0,0,0,21458,515,2,47005,582,3,9611,676,2,0,0,0,37918,1829,27,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_01,try03,3,checkout,1,1,halt_granted,5,15,202364,7884,939.6,1,0,0,38214,984,3,81853,1179,5,19329,1015,3,62968,4706,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try01,0,goto,1,1,halt_granted,2,6,29967,984,168.2,0,0,0,6973,230,1,21530,465,2,1464,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try01,1,inspect,1,0,halt_forced,3,12,40110,1339,50.0,3,1,0,0,0,0,35939,930,3,0,0,0,0,0,0,4171,409,3,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try01,2,inspect,2,0,halt_forced,3,12,40572,1034,50.3,3,1,0,0,0,0,36402,717,3,0,0,0,0,0,0,4170,317,3,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try02,0,goto,1,1,halt_granted,2,6,29860,974,134.4,0,0,0,6920,226,1,21533,421,2,1407,327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try02,1,inspect,1,1,halt_granted,4,13,92161,3319,128.7,0,0,0,29718,910,3,48035,807,4,10759,1018,3,2254,485,2,1395,99,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try02,2,pickup,1,1,halt_granted,13,50,494299,11106,557.3,1,0,0,232209,2739,11,172991,2335,13,70063,3507,11,7862,1431,7,11174,1094,11,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try02,3,checkout,1,1,halt_granted,3,9,119405,4812,309.0,0,0,0,21835,519,2,44154,493,3,9992,611,2,43424,3189,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try03,0,goto,1,1,halt_granted,2,6,30444,1190,174.4,0,0,0,7262,208,1,21451,724,2,1731,258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try03,1,inspect,1,1,halt_granted,4,13,92241,3476,161.0,0,0,0,29694,852,3,48237,765,4,10677,917,3,2236,859,2,1397,83,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try03,2,pickup,1,1,halt_granted,13,50,493921,10132,542.9,1,0,0,231845,2722,11,173100,2156,13,69929,3381,11,7873,963,7,11174,910,11,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,hard_03,try03,3,checkout,1,1,halt_granted,3,9,118377,4788,587.0,0,0,0,21549,508,2,43709,465,3,9695,593,2,43424,3222,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_01,try01,0,pickup,1,1,halt_granted,6,19,153871,7150,555.7,0,0,0,57938,1086,5,65769,1008,6,20387,1732,5,8764,3281,8,1013,43,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_01,try01,1,checkout,1,1,halt_granted,3,9,93697,3982,390.9,0,0,0,18303,491,2,36394,497,3,6432,523,2,32568,2471,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_01,try02,0,pickup,1,1,halt_granted,14,43,499738,16186,948.6,0,0,0,256385,2976,13,156384,2194,14,62806,4155,13,23148,6812,21,1015,49,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_01,try02,1,checkout,1,1,halt_granted,9,27,326737,9592,699.5,0,0,0,123015,2152,8,115568,1464,9,38580,2908,8,49574,3068,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try01,0,pickup,1,1,halt_granted,5,16,117078,3023,152.5,0,0,0,42315,864,4,54394,738,5,14919,1180,4,4432,184,4,1018,57,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try01,1,pickup,1,1,halt_granted,5,21,145222,4835,227.3,0,0,0,50675,939,4,60658,1861,5,23354,1261,4,4440,504,4,6095,270,6,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try01,2,checkout,1,1,halt_granted,5,15,241241,9923,713.5,0,0,0,51782,1076,4,67205,778,5,24598,1258,4,97656,6811,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try02,0,pickup,1,1,halt_granted,5,16,116479,2999,281.6,0,0,0,42035,823,4,54424,780,5,14598,1172,4,4404,184,4,1018,40,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try02,1,pickup,1,1,halt_granted,5,21,137661,3793,258.2,0,0,0,46891,913,4,60711,832,5,19544,1281,4,4420,504,4,6095,263,6,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try02,2,checkout,1,1,halt_granted,5,15,242567,10191,1174.0,0,0,0,52327,1067,4,67450,894,5,25134,1421,4,97656,6809,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try03,0,pickup,1,1,halt_granted,5,16,116445,2989,302.1,0,0,0,42031,870,4,54365,732,5,14641,1150,4,4390,184,4,1018,53,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try03,1,pickup,1,1,halt_granted,5,21,136672,3643,250.1,0,0,0,46463,888,4,60641,786,5,19091,1153,4,4382,504,4,6095,312,6,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,medium_03,try03,2,checkout,1,1,halt_granted,5,15,245339,10290,1146.2,0,0,0,52921,1136,4,67681,879,5,25797,1556,4,98940,6719,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_01,try01,0,pickup,1,0,time_cap,49,154,4169701,54895,2417.3,0,0,0,3249736,13281,49,530441,8554,49,312615,18251,49,69790,14463,63,7119,346,7,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_01,try01,1,pickup,2,0,time_cap,64,192,5841909,55452,2438.6,0,0,0,4765856,14033,64,695179,11002,64,329297,23960,64,51577,6457,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_01,try02,0,pickup,1,0,time_cap,39,123,2748701,36407,2458.4,0,0,0,2039027,10448,39,422461,6809,39,240968,14566,39,40143,4260,36,6102,324,6,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_01,try02,1,pickup,2,0,time_cap,37,111,2285010,33949,2463.8,0,0,0,1646383,8440,37,400046,6341,37,182341,12099,37,56240,7069,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_01,try03,0,pickup,1,0,time_cap,35,109,2217868,37710,2428.6,0,0,0,1593023,8597,35,378752,5959,35,197652,13008,35,44373,9917,40,4068,229,4,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_01,try03,1,pickup,2,0,time_cap,38,116,2519044,33658,2429.8,0,0,0,1848713,8368,38,411617,6470,38,201722,13173,38,54958,5531,50,2034,116,2,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_03,try01,0,goto,1,1,halt_granted,2,6,29269,805,80.8,0,0,0,6760,215,1,21273,315,2,1236,275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_03,try01,1,pickup,1,1,halt_granted,5,16,126022,4630,241.3,0,0,0,45228,775,4,57638,860,5,17743,1361,4,4396,1584,4,1017,50,1,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_03,try02,0,goto,1,1,halt_granted,2,6,29252,791,80.6,0,0,0,6744,242,1,21261,281,2,1247,268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_03,try02,1,pickup,1,1,halt_granted,5,16,127451,4648,239.6,0,0,0,45665,860,4,58096,826,5,18265,1291,4,4408,1620,4,1017,51,1,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_03,try03,0,goto,1,1,halt_granted,2,6,29384,919,88.6,0,0,0,6778,314,1,21253,326,2,1353,279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,easy_03,try03,1,pickup,1,1,halt_granted,5,16,125510,4647,244.9,0,0,0,45079,820,4,57391,857,5,17639,1340,4,4384,1584,4,1017,46,1,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_01,try02,0,pickup,1,1,halt_granted,9,29,267990,10396,778.3,0,0,0,118776,1865,8,97445,1532,9,37646,2514,8,12095,4395,11,2028,90,2,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_01,try02,1,pickup,1,1,halt_granted,3,13,69966,3078,284.9,0,0,0,18374,457,2,35568,492,3,6469,620,2,5505,1308,5,4050,201,4,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_01,try02,2,inspect,1,1,halt_granted,4,40,126798,4258,577.5,1,0,0,21474,564,2,53689,835,4,9676,691,2,0,0,0,41959,2168,28,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_01,try02,3,checkout,1,1,halt_granted,4,12,143538,4934,671.3,0,0,0,38539,881,3,55048,719,4,19551,1063,3,30400,2271,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,try01,0,goto,1,1,halt_granted,2,6,29888,940,164.0,0,0,0,7002,218,1,21405,453,2,1481,269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,try01,1,inspect,1,1,halt_granted,1,4,12933,293,27.8,0,0,0,0,0,0,11533,221,1,0,0,0,0,0,0,1400,72,1,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,try01,2,pickup,1,1,halt_granted,11,40,381100,8406,593.4,1,0,0,169317,2446,9,143027,1855,11,55963,2753,9,5688,722,5,7105,630,7,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,try01,3,checkout,1,1,halt_granted,3,9,118797,4871,753.0,0,0,0,22765,485,2,41720,528,3,10888,603,2,43424,3255,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,try02,0,compare,1,0,halt_forced,11,33,282706,8893,650.0,3,1,0,117681,2009,8,119294,2204,11,36925,2828,8,8806,1852,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,try02,1,compare,2,0,halt_forced,6,18,105444,3259,194.9,3,1,0,28704,757,3,64910,1354,6,9592,842,3,2238,306,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,try03,0,inspect,1,0,time_cap,32,96,1853410,42088,2423.8,0,0,0,1286973,8075,32,352247,6675,32,162902,12278,32,51288,15060,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,hard_03,try03,1,inspect,2,0,time_cap,33,99,1927850,29249,2451.1,0,0,0,1357595,6711,33,365097,6998,33,164927,12848,33,40231,2692,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_01,try01,0,pickup,1,0,time_cap,33,102,1933497,35452,2531.1,1,0,0,1338395,7247,32,357953,5288,33,174534,11054,32,59565,11703,54,3050,160,3,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_01,try01,1,pickup,2,1,halt_granted,24,78,1235505,24662,1926.8,0,0,0,795603,4951,23,261162,4029,24,140809,7841,23,31844,7482,29,6087,359,6,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_01,try01,2,checkout,1,1,halt_granted,3,9,91266,4057,569.6,0,0,0,18720,504,2,35284,660,3,6862,584,2,30400,2309,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_01,try02,0,pickup,1,1,halt_granted,10,31,311464,9212,585.7,0,0,0,141406,2168,9,108202,1549,10,40987,3057,9,19853,2390,18,1016,48,1,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_01,try02,1,checkout,1,0,time_cap,41,123,2964856,42600,2416.0,0,0,0,2227867,15225,41,489992,10708,41,246997,16667,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_01,try02,2,checkout,2,0,time_cap,39,117,2780581,42692,2407.6,0,0,0,2047176,13017,39,468544,11973,39,236293,16577,39,28568,1125,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try01,0,pickup,1,1,halt_granted,5,16,115062,2869,155.2,0,0,0,41706,773,4,53747,761,5,14219,1041,4,4372,222,4,1018,72,1,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try01,1,pickup,1,1,halt_granted,5,21,137739,4297,239.9,0,0,0,47828,904,4,58934,1103,5,20472,1491,4,4410,540,4,6095,259,6,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try01,2,checkout,1,1,halt_granted,5,15,238173,10029,955.1,0,0,0,52306,1049,4,64200,923,5,25095,1290,4,96572,6767,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try02,0,pickup,1,1,halt_granted,5,16,115459,2846,300.2,0,0,0,41885,797,4,53738,783,5,14422,1024,4,4396,184,4,1018,58,1,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try02,1,pickup,1,1,halt_granted,5,21,136867,3819,308.0,0,0,0,47192,916,4,59298,877,5,19848,1270,4,4434,504,4,6095,252,6,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try02,2,checkout,1,1,halt_granted,5,15,238769,10007,1262.7,0,0,0,52447,988,4,64575,914,5,25175,1334,4,96572,6771,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try03,0,pickup,1,1,halt_granted,5,16,115564,2918,313.9,0,0,0,41883,851,4,53795,720,5,14474,1121,4,4394,184,4,1018,42,1,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try03,1,pickup,1,1,halt_granted,5,21,133217,3594,313.9,0,0,0,46017,816,4,58160,772,5,18573,1205,4,4372,540,4,6095,261,6,0,0,0,0,0,0,0,0,0,0,0,0
a1,20260730_143507_context-ablation-a1,medium_03,try03,2,checkout,1,1,halt_granted,5,15,239934,10454,1398.5,0,0,0,51798,1130,4,63644,831,5,24668,1369,4,99824,7124,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_01,try01,0,pickup,1,0,time_cap,44,138,3394099,41024,2401.9,0,0,0,2582550,11154,44,506744,8875,44,258922,15964,44,39781,4739,36,6102,292,6,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_01,try01,1,pickup,2,0,time_cap,46,138,3323267,42236,2436.4,0,0,0,2514494,9853,46,541823,8954,46,229718,17983,46,37232,5446,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_01,try02,0,pickup,1,1,halt_granted,8,25,221756,5279,460.9,0,0,0,91668,1466,7,86793,1179,8,28028,1980,7,14258,613,13,1009,41,1,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_01,try03,0,pickup,1,1,halt_granted,8,25,221600,5471,451.2,0,0,0,92203,1554,7,86787,1191,8,28488,1973,7,13113,707,12,1009,46,1,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_03,try01,0,goto,1,1,halt_granted,2,6,29245,775,85.4,0,0,0,6743,215,1,21283,311,2,1219,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_03,try01,1,pickup,1,1,halt_granted,5,16,128188,4348,247.4,0,0,0,45402,789,4,59440,804,5,17931,1121,4,4398,1585,4,1017,49,1,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_03,try02,0,goto,1,1,halt_granted,2,6,29238,788,84.4,0,0,0,6739,224,1,21275,303,2,1224,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_03,try02,1,pickup,1,1,halt_granted,7,22,204518,8072,380.5,0,0,0,81467,1233,6,82293,1150,7,29840,1964,6,9909,3686,9,1009,39,1,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_03,try03,0,goto,1,1,halt_granted,2,6,29606,928,82.6,0,0,0,6902,238,1,21303,435,2,1401,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,easy_03,try03,1,pickup,1,1,halt_granted,5,16,129040,4934,257.9,0,0,0,46143,842,4,58775,1003,5,18725,1389,4,4380,1654,4,1017,46,1,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try01,0,pickup,1,1,halt_granted,6,19,152808,6677,452.5,0,0,0,57449,1011,5,65792,947,6,19806,1522,5,8748,3154,8,1013,43,1,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try01,1,pickup,1,1,halt_granted,9,38,305711,8127,547.1,0,0,0,125915,1677,8,111674,1511,9,41664,2524,8,15314,1903,14,11144,512,11,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try01,2,inspect,1,1,halt_granted,3,34,107103,3662,468.1,0,0,0,21286,533,2,41901,559,3,9457,588,2,0,0,0,34459,1982,25,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try01,3,checkout,1,1,halt_granted,5,15,190273,7369,811.2,1,0,0,38008,901,3,72425,840,5,19040,1084,3,60800,4544,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try02,0,pickup,1,1,halt_granted,10,31,320657,9754,613.6,0,0,0,142397,2067,9,110352,1542,10,42634,2743,9,24258,3344,22,1016,58,1,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try02,1,pickup,1,0,time_cap,41,164,3091564,44299,2408.8,0,0,0,2268539,13230,41,531295,10059,41,250115,19057,41,0,0,0,41615,1953,41,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try02,2,pickup,2,0,time_cap,48,192,3864088,45328,2437.9,0,0,0,2910765,13165,48,632310,11716,48,268963,18126,48,3330,21,3,48720,2300,48,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try03,0,pickup,1,0,time_cap,32,109,1945202,34213,2453.7,0,0,0,1330486,8085,32,366584,5658,32,181863,11792,32,53007,8045,48,13262,633,13,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_01,try03,1,pickup,2,0,time_cap,29,120,1787361,40756,2473.9,0,0,0,1180970,6682,29,342997,5720,29,174088,11592,29,55608,15171,50,33698,1591,33,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_03,try01,0,pickup,1,1,halt_granted,7,25,193271,6126,412.4,0,0,0,78090,1267,6,76754,1252,7,27652,1765,6,6722,1637,6,4053,205,4,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_03,try01,1,checkout,1,1,halt_granted,3,9,104011,4788,722.3,0,0,0,18265,489,2,35930,494,3,6392,621,2,43424,3184,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_03,try02,0,inspect,1,0,time_cap,30,90,1669507,45683,2421.7,0,0,0,1119894,7198,30,344213,5353,30,144919,10474,30,60481,22658,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_03,try02,1,inspect,2,0,time_cap,42,126,2988275,51998,2406.5,0,0,0,2207806,11699,42,506459,9563,42,224503,16832,42,49507,13904,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_03,try03,0,goto,1,1,halt_granted,2,7,40773,2327,206.5,0,0,0,6871,234,1,21385,406,2,1366,286,1,0,0,0,0,0,0,0,0,0,11151,1401,1,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_03,try03,1,inspect,1,1,halt_granted,3,10,63325,3660,159.1,0,0,0,17088,527,2,35103,627,3,5253,562,2,4484,1824,4,1397,120,1,0,0,0,0,0,0,0,0,0,0,0,0
a2c,20260730_123306_context-ablation-a2c,hard_03,try03,2,pickup,1,1,halt_granted,13,50,489451,12769,739.5,1,0,0,225286,2860,11,170500,2611,13,65554,3753,11,16951,2319,15,11160,1226,11,0,0,0,0,0,0,0,0,0,0,0,0
